epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.8353,0.50051,1.19396,1.02403,0.92184,0.88237,0.91704,0.77243,0.54944,0.96031,1.1533,0.00053344,0.00053344,0.00053344
2,49.5615,0.46938,0.53895,0.97976,0.69463,0.83405,0.82357,0.62177,0.74405,3.32826,1.29221,0.00107282,0.00107282,0.00107282
3,72.0928,0.45961,0.4991,0.98007,0.70211,0.59303,0.65239,0.45379,1.11806,1.35139,1.59014,0.00160131,0.00160131,0.00160131
4,96.0195,0.47197,0.50422,0.98792,0.54124,0.52228,0.56081,0.36275,1.04017,2.21071,1.45417,0.00161749,0.00161749,0.00161749
5,118.78,0.44562,0.46819,0.97811,0.76618,0.7739,0.83912,0.6586,0.64449,1.45983,1.16829,0.00160099,0.00160099,0.00160099
6,142.151,0.43521,0.45816,0.96743,0.88525,0.82462,0.88707,0.76104,0.48313,1.06872,1.01398,0.00158448,0.00158448,0.00158448
7,166.027,0.4234,0.42967,0.96279,0.71687,0.78039,0.84186,0.65069,0.78651,1.54333,1.42902,0.00156798,0.00156798,0.00156798
8,189.072,0.42202,0.44319,0.96392,0.89715,0.80839,0.85435,0.75049,0.43091,0.83812,0.95032,0.00155148,0.00155148,0.00155148
9,211.884,0.40595,0.41201,0.95602,0.9856,0.8732,0.9477,0.89757,0.33813,0.49175,0.86928,0.00153497,0.00153497,0.00153497
10,234.796,0.38846,0.40552,0.95098,0.98444,0.87421,0.91275,0.87294,0.33058,0.86899,0.87915,0.00151847,0.00151847,0.00151847
11,257.749,0.38299,0.40509,0.93879,0.98521,0.87859,0.92139,0.88132,0.3112,0.63097,0.86692,0.00150197,0.00150197,0.00150197
12,280.174,0.38928,0.39339,0.94589,0.94321,0.8933,0.93833,0.88596,0.3171,0.91136,0.86787,0.00148546,0.00148546,0.00148546
13,304.246,0.37408,0.38055,0.93773,0.98134,0.8884,0.95452,0.91316,0.29948,0.47645,0.85282,0.00146896,0.00146896,0.00146896
14,327.611,0.36777,0.37562,0.93566,0.94779,0.92409,0.94873,0.91915,0.28724,0.47799,0.83606,0.00145246,0.00145246,0.00145246
15,350.439,0.3596,0.37006,0.93299,0.88997,0.93007,0.93692,0.88807,0.29925,0.47312,0.85529,0.00143595,0.00143595,0.00143595
16,373.05,0.36004,0.37106,0.9274,0.95403,0.95458,0.96969,0.92988,0.28885,0.37105,0.83884,0.00141945,0.00141945,0.00141945
17,395.826,0.35068,0.3493,0.93081,0.98337,0.89575,0.94976,0.92707,0.27931,0.48726,0.8364,0.00140295,0.00140295,0.00140295
18,417.94,0.34743,0.35992,0.92907,0.97848,0.8982,0.93239,0.89801,0.29418,0.69311,0.86039,0.00138644,0.00138644,0.00138644
19,440.818,0.34467,0.35338,0.92803,0.96899,0.92371,0.95511,0.92988,0.26205,0.43333,0.83353,0.00136994,0.00136994,0.00136994
20,464.733,0.33785,0.34495,0.92061,0.95845,0.92026,0.95616,0.9175,0.29565,0.63383,0.85886,0.00135344,0.00135344,0.00135344
21,487.122,0.3424,0.35333,0.92152,0.92441,0.94202,0.9625,0.94626,0.25472,0.3683,0.83068,0.00133693,0.00133693,0.00133693
22,510.061,0.34379,0.34248,0.92059,0.97342,0.95212,0.97144,0.94827,0.25651,0.35348,0.82073,0.00132043,0.00132043,0.00132043
23,532.433,0.33215,0.3432,0.91968,0.96924,0.93497,0.96716,0.94271,0.25889,0.39736,0.82547,0.00130393,0.00130393,0.00130393
24,554.987,0.33644,0.3382,0.92138,0.98585,0.95212,0.97503,0.95218,0.24525,0.34201,0.82047,0.00128742,0.00128742,0.00128742
